//POSITION.py:59: error: Argument 3 to "Position" has incompatible type "str"; expected "int"  [arg-type]
//POSITION.py:59: error: Argument 4 to "Position" has incompatible type "str"; expected "int"  [arg-type]
//POSITION.py:59: error: Argument 5 to "Position" has incompatible type "str"; expected "int"  [arg-type]
//ERRORS.py:31: error: "IllegalCharError" has no attribute "string"  [attr-defined]
//VALUES.py:11: error: Missing return statement  [return]
//VALUES.py:13: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:16: error: Missing return statement  [return]
//VALUES.py:18: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:20: error: Missing return statement  [return]
//VALUES.py:22: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:24: error: Missing return statement  [return]
//VALUES.py:27: error: Incompatible return value type (got "tuple[None, RuntimeError]", expected "Self")  [return-value]
//VALUES.py:28: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:28: error: Argument 1 to "Number" has incompatible type "float"; expected "int"  [arg-type]
//VALUES.py:30: error: Missing return statement  [return]
//VALUES.py:32: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:34: error: Missing return statement  [return]
//VALUES.py:36: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:38: error: Missing return statement  [return]
//VALUES.py:40: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:42: error: Missing return statement  [return]
//VALUES.py:44: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:46: error: Missing return statement  [return]
//VALUES.py:48: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:50: error: Missing return statement  [return]
//VALUES.py:52: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:54: error: Missing return statement  [return]
//VALUES.py:56: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:58: error: Missing return statement  [return]
//VALUES.py:60: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:63: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:65: error: Missing return statement  [return]
//VALUES.py:67: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//VALUES.py:69: error: Missing return statement  [return]
//VALUES.py:71: error: Incompatible return value type (got "tuple[Number, None]", expected "Self")  [return-value]
//SYMBOL_TABLE.py:6: error: Incompatible types in assignment (expression has type "None", variable has type "Self")  [assignment]
//SYMBOL_TABLE.py:10: error: Incompatible types in assignment (expression has type "int | str | None", variable has type "Token")  [assignment]
//SYMBOL_TABLE.py:22: error: "SymbolTable" has no attribute "symbol"; maybe "symbols"?  [attr-defined]
//RESULT.py:15: error: Function "builtins.any" is not valid as a type  [valid-type]
//RESULT.py:15: note: Perhaps you meant "typing.Any" instead of "any"?
//RESULT.py:17: error: Attribute "error" already defined on line 8  [no-redef]
//RESULT.py:17: error: any? has no attribute "error"  [attr-defined]
//RESULT.py:18: error: Returning Any from function declared to return "Token"  [no-any-return]
//RESULT.py:18: error: any? has no attribute "node"  [attr-defined]
//RESULT.py:21: error: Function "builtins.any" is not valid as a type  [valid-type]
//RESULT.py:21: note: Perhaps you meant "typing.Any" instead of "any"?
//RESULT.py:22: error: Attribute "node" already defined on line 7  [no-redef]
//RESULT.py:25: error: Function "builtins.any" is not valid as a type  [valid-type]
//RESULT.py:25: note: Perhaps you meant "typing.Any" instead of "any"?
//RESULT.py:26: error: Attribute "error" already defined on line 8  [no-redef]
//POSITION.py:59: error: Argument 1 to "Position" has incompatible type "int"; expected "str"  [arg-type]
//POSITION.py:59: error: Argument 2 to "Position" has incompatible type "int"; expected "str"  [arg-type]
//POSITION.py:59: error: Argument 4 to "Position" has incompatible type "str"; expected "int"  [arg-type]
//POSITION.py:59: error: Argument 5 to "Position" has incompatible type "str"; expected "int"  [arg-type]
//VALUES.py:11: error: Missing return statement  [return]
VALUES.py:13: error: Argument 1 to "Number" has incompatible type "int | float"; expected "int"  [arg-type]
//VALUES.py:16: error: Missing return statement  [return]
VALUES.py:18: error: Argument 1 to "Number" has incompatible type "int | float"; expected "int"  [arg-type]
//VALUES.py:20: error: Missing return statement  [return]
VALUES.py:22: error: Argument 1 to "Number" has incompatible type "int | float"; expected "int"  [arg-type]
//VALUES.py:24: error: Missing return statement  [return]
VALUES.py:28: error: Argument 1 to "Number" has incompatible type "float"; expected "int"  [arg-type]
//VALUES.py:30: error: Missing return statement  [return]
VALUES.py:32: error: Argument 1 to "Number" has incompatible type "Any | float"; expected "int"  [arg-type]
//VALUES.py:34: error: Missing return statement  [return]
VALUES.py:36: error: Argument 1 to "Number" has incompatible type "int | float"; expected "int"  [arg-type]
//VALUES.py:38: error: Missing return statement  [return]
//VALUES.py:42: error: Missing return statement  [return]
//VALUES.py:46: error: Missing return statement  [return]
//VALUES.py:50: error: Missing return statement  [return]
//VALUES.py:54: error: Missing return statement  [return]
//VALUES.py:58: error: Missing return statement  [return]
//VALUES.py:65: error: Missing return statement  [return]
//VALUES.py:69: error: Missing return statement  [return]
//SYMBOL_TABLE.py:12: error: Returning Any from function declared to return "Token"  [no-any-return]
//SYMBOL_TABLE.py:12: error: "Self" has no attribute "get"  [attr-defined]
//SYMBOL_TABLE.py:14: error: Incompatible return value type (got "int | str | None", expected "Token")  [return-value]
//RESULT.py:20: error: Incompatible return value type (got "Token | None", expected "Token")  [return-value]
//RESULT.py:27: error: Attribute "error" already defined on line 8  [no-redef]
//NODES.py:38: error: Incompatible types in assignment (expression has type "type[Token]", variable has type "Token")  [assignment]
//LEXER.py:30: error: Invalid type comment or annotation  [valid-type]
//LEXER.py:163: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:164: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:169: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:171: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:173: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:175: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:177: error: Argument 2 to "Token" has incompatible type "str"; expected "int | float | None"  [arg-type]
//LEXER.py:189: error: Unsupported operand types for in ("str | None" and "str")  [operator]
//LEXER.py:216: error: Missing positional argument "text" in call to "Lexer"  [call-arg]
//PARSER.py:38: error: Item "NumberNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "error"  [union-attr]
//PARSER.py:38: error: Item "UnaryOpNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "error"  [union-attr]
//PARSER.py:38: error: Item "BinaryOpNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "error"  [union-attr]
PARSER.py:38: error: Item "None" of "Token | None" has no attribute "type"  [union-attr]
//PARSER.py:39: error: Returning Any from function declared to return "None"  [no-any-return]
//PARSER.py:39: error: Item "NumberNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "failure"  [union-attr]
//PARSER.py:39: error: Item "UnaryOpNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "failure"  [union-attr]
//PARSER.py:39: error: Item "BinaryOpNode" of "NumberNode | UnaryOpNode | BinaryOpNode" has no attribute "failure"  [union-attr]
//PARSER.py:41: error: No return value expected  [return-value]
PARSER.py:48: error: Item "None" of "Token | None" has no attribute "equal_to"  [union-attr]
